city,index,miles,people,cars,crimes,subways
Austin,0,271,2685,650,397,0
Boston,1,89,18868,634,726,145
Chicago,2,234,15378,591,885,145
Dallas,3,385,11911,625,665,0
Denver,4,155,3950,717,599,0
Detroit,5,142,10900,668,1989,13
Dubai,6,1588,6865,540,300,49
Greensboro,7,131,2139,758,477,0
Houston,8,627,3515,590,992,0
London,9,607,13212,213,600,270
Los Angeles,10,503,23887,595,491,86
Manhattan,11,22,69467,472,513,148
Miami,12,55,20267,599,1060,23
Moscow,13,970,12694,380,750,200
New York City,14,304,56012,472,597,469
Philadelphia,15,141,16557,604,1022,74
Phoenix,16,517,2797,609,572,0
San Diego,17,372,4024,663,381,0
Tokyo,18,845,15642,280,250,179
Toronto,19,243,6865,420,600,69
Washigton D.C.,20,68,13038,657,1186,91
